,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
87,73,Jamaree Bouyea,PG,23,WAS,1,6,.000,,.000,.000,,.000,.000,1.000,,,,,,,,258,-1.1,-1.2
88,74,Tony Bradley,C,25,CHI,12,33,.500,.429,.600,.625,1.000,.690,.333,.417,105,78,166,115,128,119,125,108,1.9,3.0
89,75,Malaki Branham,SG,19,SAS,66,1550,.440,.539,.302,.503,.829,.524,.115,.417,93,98,84,92,106,90,43,108,-51.3,-73.1
90,76,Jarrell Brantley,PF,26,UTA,4,39,.571,.800,.444,.714,1.000,.739,.143,.643,120,146,123,131,128,127,54,166,4.7,4.7
91,77,Christian Braun,SG,21,DEN,76,1181,.495,.565,.354,.554,.625,.568,.221,.332,104,103,98,102,80,98,83,86,4.8,-8.7
92,78,Mikal Bridges,SF-SG,26,TOT,83,2963,.468,.514,.382,.535,.895,.587,.279,.349,98,94,106,98,115,101,105,90,-26.7,17.5
93,79,Mikal Bridges,SF,26,PHO,56,2040,.463,.503,.387,.529,.897,.574,.228,.342,97,92,107,97,115,99,85,88,-24.1,-12.2
94,80,Mikal Bridges,SG,26,BRK,27,923,.475,.531,.376,.543,.894,.607,.356,.360,100,97,104,100,114,104,134,93,-2.5,29.7
95,,,,,,,,,,,,,,,,,,,,,,,,,
96,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
99,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
100,81,Oshae Brissett,PF,24,IND,65,1083,.386,.457,.310,.461,.717,.520,.455,.486,81,83,86,85,92,89,171,125,-53.9,-47.0
101,82,Malcolm Brogdon,PG,30,BOS,67,1744,.484,.510,.444,.574,.870,.615,.251,.406,102,93,123,105,111,106,94,105,41.7,54.9
102,83,Dillon Brooks,SF,27,MEM,73,2214,.396,.451,.326,.468,.779,.494,.155,.443,83,82,90,86,100,85,58,114,-153.7,-183.8
103,84,Bruce Brown,SF,26,DEN,80,2280,.483,.548,.358,.545,.758,.571,.206,.343,102,100,99,100,97,98,77,88,-1.1,-16.7
104,85,Greg Brown III,PF,21,POR,16,93,.393,.476,.143,.411,.417,.421,.429,.250,83,87,40,75,53,72,161,65,-7.5,-10.7
105,86,Jaylen Brown,SF,26,BOS,67,2405,.491,.576,.335,.550,.765,.581,.249,.352,103,105,93,101,98,100,93,91,12.8,.3
106,87,Kendall Brown,SG,19,IND,6,40,.571,.667,.000,.571,.500,.571,.286,.143,120,122,,105,64,98,107,37,.4,-0.2
107,88,Moses Brown,C,23,TOT,36,294,.635,.635,,.635,.458,.607,.750,.000,134,116,,117,59,104,281,,17.3,6.6
108,89,Moses Brown,C,23,LAC,34,288,.635,.635,,.635,.458,.607,.750,.000,134,116,,117,59,104,281,,17.3,6.6
109,90,Moses Brown,C,23,BRK,2,6,,,,,,,,,,,,,,,,,.0,.0
110,91,Sterling Brown,SF,27,LAL,4,24,.000,.000,.000,.000,,.000,.000,.500,,,,,,,,129,-4.4,-4.7
111,92,Troy Brown Jr.,SF,23,LAL,76,1860,.430,.505,.381,.545,.872,.561,.084,.604,90,92,106,100,112,97,31,156,-0.1,-19.5
112,93,Jalen Brunson,PG,26,NYK,68,2379,.491,.519,.416,.547,.829,.597,.328,.269,103,95,115,100,106,103,123,70,4.8,43.3
113,94,Thomas Bryant,C,25,TOT,59,1081,.623,.658,.441,.659,.738,.682,.341,.160,131,120,122,121,94,117,128,41,83.6,85.6
114,95,Thomas Bryant,C,25,LAL,41,876,.654,.697,.440,.691,.741,.712,.359,.166,138,127,122,127,95,122,135,43,87.8,90.8
115,96,Thomas Bryant,C,25,DEN,18,205,.485,.492,.444,.515,.722,.547,.265,.132,102,90,123,94,92,94,99,34,-4.2,-5.3
116,97,Reggie Bullock,SF,31,DAL,78,2364,.409,.562,.380,.569,.703,.577,.079,.845,86,103,105,104,90,99,30,218,22.5,-4.3
117,98,Alec Burks,SG,31,DET,51,1122,.436,.459,.414,.544,.814,.602,.410,.521,92,84,115,100,104,104,154,134,-1.5,22.2
118,99,Deonte Burton,PF,29,SAC,2,6,.000,.000,.000,.000,,.000,.000,.500,,,,,,,,129,-2.2,-2.3
119,100,Jared Butler,PG,22,OKC,6,77,.469,.444,.500,.578,,.578,.000,.438,99,81,139,106,,99,,113,2.1,-0.2
120,,,,,,,,,,,,,,,,,,,,,,,,,
121,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
124,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
125,101,Jimmy Butler,PF,33,MIA,64,2138,.539,.564,.350,.560,.850,.647,.625,.116,113,103,97,103,109,111,235,30,25.6,149.8
126,102,John Butler,C,20,POR,19,221,.321,.500,.229,.396,.750,.411,.075,.660,67,91,63,73,96,71,28,170,-15.8,-18.7
127,103,Jamal Cain,PF,23,MIA,18,240,.561,.652,.350,.614,.773,.647,.333,.303,118,119,97,113,99,111,125,78,9.0,10.0
128,104,Kentavious Caldwell-Pope,SG,29,DEN,76,2381,.462,.502,.423,.569,.824,.598,.198,.505,97,92,117,104,105,103,74,130,29.8,23.4
129,105,Facundo Campazzo,PG,31,DAL,8,52,.231,.000,.273,.346,.500,.360,.154,.846,49,,76,63,64,62,58,218,-5.2,-6.1
130,106,Vlatko Čančar,PF,25,DEN,60,889,.476,.580,.374,.570,.927,.606,.181,.507,100,106,104,105,119,104,68,131,11.5,12.1
131,107,Clint Capela,C,28,ATL,65,1730,.653,.654,.000,.653,.603,.656,.244,.002,137,119,,120,77,113,92,,115.5,88.9
132,108,Vernon Carey Jr.,C,21,WAS,11,28,.250,.250,,.250,1.000,.338,.250,.000,53,46,,46,128,58,94,,-4.7,-4.3
133,109,Jevon Carter,PG,27,MIL,81,1810,.423,.425,.421,.549,.816,.560,.067,.596,89,78,117,101,104,96,25,154,3.9,-25.3
134,110,Michael Carter-Williams,PG,31,ORL,4,44,.429,.455,.333,.464,.571,.498,.500,.214,90,83,92,85,73,86,188,55,-2.3,-2.9
135,111,Wendell Carter Jr.,C,23,ORL,57,1690,.525,.624,.356,.591,.738,.621,.318,.367,110,114,99,108,94,107,119,95,55.5,55.6
136,112,Alex Caruso,PG,28,CHI,67,1575,.455,.556,.364,.551,.808,.588,.255,.528,96,101,101,101,103,101,96,136,3.1,4.2
137,113,Justin Champagnie,SF,21,TOT,5,34,.333,.400,.200,.367,,.367,.000,.333,70,73,55,67,,63,,86,-5.4,-6.4
138,114,Justin Champagnie,SF,21,TOR,3,11,1.000,1.000,,1.000,,1.000,.000,.000,210,183,,183,,172,,,2.7,2.5
139,115,Justin Champagnie,SF,21,BOS,2,23,.167,.143,.200,.208,,.208,.000,.417,35,26,55,38,,36,,108,-8.1,-9.0
140,116,Julian Champagnie,SF,21,TOT,17,320,.454,.542,.402,.581,.824,.600,.131,.631,95,99,112,107,105,103,49,163,9.2,5.2
141,117,Julian Champagnie,SF,21,PHI,2,7,.000,.000,.000,.000,,.000,.000,.500,,,,,,,,129,-2.2,-2.3
142,118,Julian Champagnie,SF,21,SAS,15,313,.461,.553,.407,.590,.824,.609,.133,.633,97,101,113,108,105,105,50,163,11.4,7.5
143,119,Kennedy Chandler,PG,20,MEM,36,281,.422,.485,.133,.434,.462,.440,.157,.181,89,89,37,80,59,76,59,47,-18.5,-25.1
144,120,Josh Christopher,SG,21,HOU,64,786,.465,.550,.236,.497,.750,.523,.182,.271,98,100,65,91,96,90,68,70,-31.8,-41.2
145,,,,,,,,,,,,,,,,,,,,,,,,,
146,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
