,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
376,302,Justin Jackson,SF,27,BOS,23,107,.259,.286,.250,.352,.500,.359,.074,.741,55,52,69,65,64,62,28,191,-10.4,-12.4
377,303,Quenton Jackson,PG,24,WAS,9,135,.452,.600,.083,.464,.773,.542,.524,.286,95,110,23,85,99,93,197,74,-6.8,-4.1
378,304,Reggie Jackson,PG,32,TOT,68,1657,.411,.474,.333,.486,.910,.514,.122,.450,86,87,92,89,116,88,46,116,-75.9,-90.9
379,305,Reggie Jackson,PG,32,LAC,52,1338,.418,.469,.350,.493,.924,.523,.129,.430,88,86,97,90,118,90,48,111,-53.3,-63.0
380,306,Reggie Jackson,PG,32,DEN,16,319,.383,.500,.279,.457,.833,.476,.094,.531,81,91,77,84,107,82,35,137,-22.6,-27.9
381,307,LeBron James,PF,38,LAL,55,1954,.500,.580,.321,.549,.768,.583,.268,.309,105,106,89,101,98,100,101,80,9.7,5.6
382,308,Ty Jerome,SG,25,GSW,45,816,.488,.546,.389,.560,.927,.594,.169,.372,103,100,108,103,119,102,64,96,7.1,6.7
383,309,Isaiah Joe,SG,23,OKC,73,1395,.441,.553,.409,.599,.820,.626,.197,.776,93,101,113,110,105,108,74,200,55.0,49.3
384,310,Alize Johnson,PF,26,SAS,4,30,.500,.750,.000,.500,.500,.509,.333,.333,105,137,,92,64,88,125,86,-0.5,-1.0
385,311,Cameron Johnson,PF,26,TOT,42,1199,.470,.548,.404,.579,.842,.617,.253,.538,99,100,112,106,108,106,95,139,32.1,37.6
386,312,Cameron Johnson,PF,26,PHO,17,429,.474,.500,.455,.604,.818,.629,.191,.572,100,91,126,111,105,108,72,148,20.3,18.0
387,313,Cameron Johnson,PF,26,BRK,25,770,.468,.572,.372,.565,.851,.610,.289,.518,99,104,103,104,109,105,108,134,11.8,19.6
388,314,James Johnson,PF,35,IND,18,162,.449,.559,.200,.480,.500,.486,.163,.306,94,102,55,88,64,84,61,79,-6.4,-10.1
389,315,Jalen Johnson,SF,21,ATL,70,1042,.491,.587,.288,.537,.628,.554,.242,.323,103,107,80,99,80,95,91,83,-5.1,-19.2
390,316,Keldon Johnson,SF,23,SAS,63,2063,.452,.523,.329,.512,.749,.551,.294,.366,95,95,91,94,96,95,110,94,-73.7,-76.1
391,317,Keon Johnson,SG,20,POR,40,416,.376,.402,.346,.455,.659,.482,.230,.455,79,73,96,83,84,83,86,117,-32.1,-38.9
392,318,Stanley Johnson,SF,26,SAS,30,469,.533,.573,.450,.607,.667,.625,.320,.328,112,105,125,111,85,108,120,85,15.0,12.2
393,319,Nikola Jokić,C,27,DEN,69,2323,.632,.675,.383,.660,.822,.701,.406,.146,133,123,106,121,105,121,152,38,234.5,289.6
394,320,Carlik Jones,PG,25,CHI,7,56,.400,.333,.500,.500,.625,.540,.533,.400,84,61,139,92,80,93,200,103,-1.4,-1.5
395,,,,,,,,,,,,,,,,,,,,,,,,,
396,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
399,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
400,321,Damian Jones,C,27,TOT,41,477,.640,.652,.588,.698,.759,.719,.337,.198,135,119,163,128,97,124,127,51,26.2,27.2
401,322,Damian Jones,C,27,LAL,22,176,.541,.588,.000,.541,.750,.600,.541,.081,114,107,,99,96,103,203,21,-0.3,1.8
402,323,Damian Jones,C,27,UTA,19,301,.714,.714,.714,.816,.778,.821,.184,.286,150,130,198,150,99,141,69,74,26.6,25.4
403,324,Derrick Jones Jr.,PF,25,CHI,64,893,.500,.587,.338,.559,.738,.597,.365,.348,105,107,94,102,94,103,137,90,6.2,8.7
404,325,Herbert Jones,PF,24,NOP,66,1951,.469,.536,.335,.525,.764,.567,.321,.333,99,98,93,96,98,98,121,86,-20.3,-15.8
405,326,Kai Jones,C,22,CHO,46,550,.558,.624,.211,.575,.731,.597,.217,.158,117,114,58,105,93,103,81,41,7.1,4.2
406,327,Tre Jones,PG,23,SAS,68,1984,.459,.506,.285,.489,.860,.534,.231,.213,97,92,79,90,110,92,87,55,-83.2,-76.7
407,328,Tyus Jones,PG,26,MEM,80,1940,.438,.495,.371,.523,.800,.546,.141,.459,92,90,103,96,102,94,53,119,-31.3,-53.5
408,329,DeAndre Jordan,C,34,DEN,39,586,.765,.763,1.000,.770,.458,.731,.417,.009,161,139,277,141,59,126,157,2,51.6,40.8
409,330,Cory Joseph,PG,31,DET,62,1227,.427,.468,.389,.527,.792,.558,.205,.513,90,85,108,97,101,96,77,132,-12.8,-17.9
410,331,Nikola Jović,PF,19,MIA,15,204,.406,.588,.229,.464,.947,.530,.275,.507,85,107,63,85,121,91,103,131,-11.2,-7.9
411,332,Johnny Juzang,SG,21,UTA,18,232,.337,.488,.238,.409,.500,.411,.038,.606,71,89,66,75,64,71,14,156,-28.4,-35.9
412,333,Mfiondu Kabengele,PF,25,BOS,4,36,.286,.500,.000,.286,1.000,.381,.286,.429,60,91,,52,128,65,107,111,-3.6,-3.2
413,334,Frank Kaminsky,C,29,TOT,36,235,.492,.600,.394,.595,.875,.635,.254,.524,104,110,109,109,112,109,95,135,6.3,7.6
414,335,Frank Kaminsky,C,29,ATL,26,176,.568,.667,.478,.693,.833,.720,.273,.523,120,122,133,127,107,124,102,135,13.0,13.7
415,336,Frank Kaminsky,C,29,HOU,10,59,.316,.444,.200,.368,1.000,.434,.211,.526,66,81,55,68,128,75,79,136,-6.7,-6.1
416,337,Trevor Keels,SG,19,NYK,3,8,.250,,.250,.375,,.375,.000,1.000,53,,69,69,,65,,258,-1.4,-1.7
417,338,Luke Kennard,SG,26,TOT,59,1315,.492,.487,.494,.666,.949,.684,.102,.704,104,89,137,122,121,118,38,182,92.4,82.0
418,339,Luke Kennard,SG,26,LAC,35,725,.464,.494,.447,.604,.950,.623,.095,.626,98,90,124,111,122,107,36,161,24.9,18.5
419,340,Luke Kennard,SG,26,MEM,24,590,.526,.471,.540,.743,.947,.758,.111,.801,111,86,150,136,121,130,42,207,67.5,63.5
420,,,,,,,,,,,,,,,,,,,,,,,,,
421,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
424,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
425,341,Walker Kessler,C,21,UTA,74,1703,.720,.723,.333,.721,.516,.702,.384,.007,151,132,92,132,66,121,144,2,145.5,116.4
426,342,Braxton Key,SF,25,DET,3,9,1.000,1.000,,1.000,1.000,1.064,2.000,.000,210,183,,183,128,183,751,,.9,1.8
427,343,Louis King,PF,23,PHI,1,29,.615,.800,.500,.769,.000,.744,.077,.615,129,146,139,141,,128,29,159,5.8,4.4
428,344,Corey Kispert,SF,23,WAS,74,2093,.497,.637,.424,.637,.852,.657,.150,.656,105,116,118,117,109,113,56,169,107.1,94.9
429,345,Maxi Kleber,PF,31,DAL,37,930,.456,.667,.348,.571,.711,.592,.225,.663,96,122,97,105,91,102,84,171,8.7,4.1
430,346,Nathan Knight,C,25,MIN,38,291,.568,.644,.364,.617,.684,.655,.704,.272,119,118,101,113,88,113,264,70,11.7,15.7
431,347,Kevin Knox,PF-SF,23,TOT,63,952,.458,.596,.349,.556,.767,.579,.181,.560,96,109,97,102,98,100,68,145,7.0,-1.6
432,348,Kevin Knox,SF,23,DET,42,593,.469,.651,.371,.589,.788,.612,.184,.648,99,119,103,108,101,105,69,167,15.8,12.0
433,349,Kevin Knox,PF,23,POR,21,359,.444,.554,.314,.516,.741,.540,.176,.458,93,101,87,95,95,93,66,118,-8.8,-13.7
434,350,Christian Koloko,C,22,TOR,58,802,.480,.514,.083,.483,.627,.517,.393,.080,101,94,23,89,80,89,148,21,-18.6,-22.6
435,351,John Konchar,SF,26,MEM,72,1494,.431,.545,.339,.525,.778,.542,.113,.553,91,100,94,96,99,93,42,143,-13.0,-26.4
436,352,Furkan Korkmaz,SG,25,PHI,37,353,.432,.462,.391,.514,.722,.552,.324,.414,91,84,108,94,92,95,122,107,-7.0,-7.5
437,353,Luke Kornet,C,27,BOS,69,804,.665,.701,.231,.674,.821,.697,.229,.076,140,128,64,124,105,120,86,20,43.6,43.4
438,354,Vit Krejci,PG,22,ATL,29,165,.405,.625,.238,.473,.500,.475,.054,.568,85,114,66,87,64,82,20,146,-5.3,-8.0
439,355,Jonathan Kuminga,PF,20,GSW,67,1394,.525,.590,.370,.579,.652,.597,.278,.294,110,108,103,106,83,103,104,76,34.0,17.6
440,356,Kyle Kuzma,PF,27,WAS,64,2239,.448,.533,.333,.518,.730,.544,.208,.421,94,97,92,95,93,94,78,109,-61.4,-91.8
441,357,Anthony Lamb,SF,25,GSW,62,1195,.471,.652,.367,.588,.767,.610,.191,.634,99,119,102,108,98,105,72,164,26.6,19.3
442,358,Jock Landale,C,27,PHO,69,979,.528,.621,.250,.559,.752,.595,.312,.249,111,113,69,103,96,102,117,64,9.5,10.5
443,359,Romeo Langford,SG,23,SAS,43,844,.467,.530,.262,.498,.696,.524,.216,.236,98,97,73,91,89,90,81,61,-24.4,-32.7
444,360,Jake LaRavia,PF,21,MEM,35,414,.389,.542,.338,.516,.778,.531,.095,.747,82,99,94,95,99,91,36,193,-5.6,-10.0
445,,,,,,,,,,,,,,,,,,,,,,,,,
446,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,,,,,,
448,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
449,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
450,361,Zach LaVine,SG,27,CHI,77,2768,.485,.556,.375,.558,.848,.607,.308,.392,102,101,104,102,108,104,116,101,36.4,80.5
451,362,A.J. Lawson,SG,22,TOT,15,108,.500,.632,.400,.614,.250,.589,.182,.568,105,115,111,113,32,101,68,147,6.0,.8
452,363,A.J. Lawson,SG,22,MIN,1,2,1.000,1.000,,1.000,,1.000,.000,.000,210,183,,183,,172,,,.9,.8
453,364,A.J. Lawson,SG,22,DAL,14,106,.488,.611,.400,.605,.250,.580,.186,.581,103,112,111,111,32,100,70,150,5.1,-0.1
454,365,Damion Lee,SG,30,PHO,74,1506,.442,.439,.445,.564,.904,.607,.230,.546,93,80,123,103,116,104,86,141,17.1,25.3
455,366,Saben Lee,PG,23,TOT,25,373,.405,.418,.367,.450,.737,.517,.471,.248,85,76,102,83,94,89,177,64,-23.0,-18.8
456,367,Saben Lee,PG,23,PHI,2,10,.750,1.000,.000,.750,,.750,.000,.250,158,183,,138,,129,,65,1.6,1.3
457,368,Saben Lee,PG,23,PHO,23,363,.393,.398,.379,.440,.737,.510,.487,.248,83,73,105,81,94,88,183,64,-24.6,-20.2
458,369,Alex Len,C,29,SAC,26,161,.533,.571,.000,.533,.688,.580,.533,.067,112,104,,98,88,100,200,17,-0.7,-0.1
459,370,Kawhi Leonard,SF,31,LAC,52,1748,.512,.551,.416,.572,.871,.623,.320,.287,108,101,115,105,111,107,120,74,46.2,83.7
460,371,Meyers Leonard,C,30,MIL,9,114,.483,.636,.389,.603,.889,.652,.310,.621,102,116,108,111,114,112,116,160,3.4,4.7
461,372,Caris LeVert,SG,28,CLE,74,2237,.431,.462,.392,.517,.722,.546,.243,.437,91,84,109,95,92,94,91,113,-42.2,-57.7
462,373,Kira Lewis Jr.,PG,21,NOP,25,235,.455,.463,.441,.540,.864,.584,.250,.386,96,84,122,99,110,100,94,100,-1.0,.4
463,374,Damian Lillard,PG,32,POR,58,2107,.463,.574,.371,.564,.914,.645,.464,.547,97,105,103,103,117,111,174,141,45.2,183.2
464,375,Nassir Little,SF,22,POR,54,976,.442,.524,.367,.538,.717,.555,.152,.521,93,96,102,99,92,96,57,135,-4.4,-16.8
465,376,Isaiah Livers,PF,24,DET,52,1199,.417,.541,.365,.545,.821,.567,.135,.705,88,99,101,100,105,98,51,182,-0.1,-8.8
466,377,Kenneth Lofton Jr.,PF,20,MEM,24,176,.527,.566,.353,.559,.593,.572,.290,.183,111,103,98,103,76,98,109,47,2.6,-1.9
467,378,Kevon Looney,C,26,GSW,82,1958,.630,.632,.000,.630,.606,.639,.404,.003,133,115,,116,78,110,151,1,65.2,52.3
468,379,Brook Lopez,C,34,MIL,78,2373,.531,.637,.374,.606,.784,.630,.211,.405,112,116,104,111,100,108,79,104,109.6,96.7
469,380,Robin Lopez,C,34,CLE,37,299,.640,.648,.500,.653,.778,.675,.240,.053,135,118,139,120,99,116,90,14,16.2,15.6
470,,,,,,,,,,,,,,,,,,,,,,,,,
471,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
474,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
475,381,Kevin Love,PF,34,TOT,62,1240,.389,.516,.334,.506,.879,.548,.215,.698,82,94,93,93,112,94,81,180,-33.4,-30.5
476,382,Kevin Love,PF,34,CLE,41,821,.389,.467,.354,.511,.889,.555,.221,.684,82,85,98,94,114,95,83,177,-19.8,-16.5
477,383,Kevin Love,PF,34,MIA,21,419,.388,.632,.297,.496,.857,.535,.201,.727,82,115,82,91,110,92,76,188,-13.6,-13.9
478,384,Kyle Lowry,PG,36,MIA,55,1718,.404,.509,.345,.514,.859,.565,.278,.639,85,93,96,94,110,97,104,165,-29.9,-17.9
479,385,Trey Lyles,PF,27,SAC,74,1247,.458,.595,.362,.565,.815,.607,.304,.588,96,109,100,104,104,105,114,152,16.1,24.3
480,386,Théo Maledon,PG,21,CHO,44,854,.402,.465,.295,.457,.851,.515,.291,.374,84,85,82,84,109,89,109,97,-45.0,-38.1
481,387,Sandro Mamukelashvili,C,23,TOT,43,660,.422,.511,.303,.487,.684,.516,.248,.430,89,93,84,89,88,89,93,111,-26.8,-33.5
482,388,Sandro Mamukelashvili,C,23,MIL,24,217,.328,.462,.219,.388,.667,.432,.310,.552,69,84,61,71,85,74,116,142,-18.2,-19.6
483,389,Sandro Mamukelashvili,C,23,SAS,19,443,.453,.524,.343,.520,.692,.545,.227,.390,95,96,95,95,89,94,85,101,-8.6,-13.9
484,390,Terance Mann,SG,26,LAC,81,1872,.519,.598,.389,.593,.780,.619,.225,.378,109,109,108,109,100,106,85,98,49.6,43.5
485,391,Tre Mann,PG,21,OKC,67,1183,.393,.475,.315,.474,.764,.492,.110,.513,83,87,87,87,98,85,41,132,-71.3,-93.6
486,392,Boban Marjanović,C,34,HOU,31,171,.683,.695,.000,.683,.741,.710,.450,.017,144,127,,125,95,122,169,4,16.6,18.4
487,393,Lauri Markkanen,PF,25,UTA,66,2273,.499,.585,.391,.586,.875,.640,.348,.446,105,107,109,107,112,110,131,115,93.4,155.8
488,394,Naji Marshall,SF,25,NOP,77,1792,.433,.513,.303,.490,.789,.539,.306,.382,91,94,84,90,101,93,115,99,-62.7,-55.3
489,395,Caleb Martin,SF,27,MIA,71,2077,.464,.545,.356,.540,.805,.571,.206,.431,98,99,99,99,103,98,77,111,-5.6,-11.9
490,396,Cody Martin,SF,27,CHO,7,134,.389,.500,.214,.431,.571,.448,.194,.389,82,91,59,79,73,77,73,100,-8.3,-10.4
491,397,Kenyon Martin Jr.,SF,22,HOU,82,2292,.569,.679,.315,.617,.680,.635,.308,.300,120,124,87,113,87,109,116,77,102.8,88.4
492,398,Tyrese Martin,SG,23,ATL,16,66,.391,.500,.143,.413,1.000,.440,.087,.304,82,91,40,76,128,76,33,79,-6.1,-6.8
493,399,Garrison Mathews,SG,26,TOT,54,686,.363,.476,.350,.520,.906,.573,.264,.896,76,87,97,95,116,99,99,231,-10.2,-3.8
494,400,Garrison Mathews,SG,26,HOU,45,602,.353,.467,.342,.509,.911,.564,.265,.912,74,85,95,93,117,97,99,235,-12.4,-6.6
495,,,,,,,,,,,,,,,,,,,,,,,,,
496,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
497,,,,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
499,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
500,401,Garrison Mathews,SG,26,ATL,9,84,.419,.500,.400,.581,.875,.623,.258,.806,88,91,111,106,112,107,97,208,2.2,2.9
501,402,Bennedict Mathurin,SG,20,IND,78,2222,.434,.488,.323,.487,.828,.566,.477,.326,91,89,89,89,106,97,179,84,-111.1,-35.8
502,403,Wesley Matthews,SF,36,MIL,52,820,.362,.528,.315,.484,.857,.519,.175,.775,76,96,87,89,110,89,66,200,-19.5,-21.3
503,404,Tyrese Maxey,SG,22,PHI,60,2016,.481,.513,.434,.568,.845,.605,.233,.404,101,94,120,104,108,104,88,104,42.4,47.7
504,405,Skylar Mays,PG,25,POR,6,189,.500,.524,.462,.588,.923,.624,.191,.382,105,96,128,108,118,107,72,99,5.8,6.3
505,406,Miles McBride,PG,22,NYK,64,760,.358,.457,.299,.451,.667,.475,.195,.623,75,83,83,83,85,82,73,161,-40.5,-49.4
506,407,Mac McClung,SG,24,PHI,2,41,.450,.556,.364,.550,.600,.563,.250,.550,95,101,101,101,77,97,94,142,.2,-0.8
507,408,CJ McCollum,SG,31,NOP,75,2649,.437,.469,.389,.515,.769,.541,.177,.404,92,86,108,94,98,93,66,104,-80.6,-116.2
508,409,T.J. McConnell,PG,30,IND,75,1526,.543,.556,.441,.568,.853,.590,.131,.113,114,102,122,104,109,101,49,29,23.8,9.5
509,410,Jalen McDaniels,SF,25,TOT,80,1913,.455,.530,.332,.518,.841,.557,.224,.376,96,97,92,95,108,96,84,97,-33.8,-32.9
510,411,Jalen McDaniels,SF,25,CHO,56,1494,.447,.534,.322,.513,.846,.551,.211,.409,94,98,89,94,108,95,79,106,-31.7,-32.5
511,412,Jalen McDaniels,SF,25,PHI,24,419,.488,.516,.400,.537,.824,.580,.276,.244,103,94,111,98,105,100,104,63,-2.1,-0.4
512,413,Jaden McDaniels,SF,22,MIN,79,2416,.517,.588,.398,.591,.736,.611,.201,.376,109,107,110,108,94,105,75,97,66.2,47.0
513,414,Doug McDermott,SF,31,SAS,64,1314,.457,.516,.413,.575,.757,.590,.134,.570,96,94,114,105,97,102,50,147,30.7,10.2
514,415,JaVale McGee,C,35,DAL,42,355,.640,.650,.400,.648,.585,.650,.328,.040,135,119,111,119,75,112,123,10,25.7,19.7
515,416,Bryce McGowens,SG,20,CHO,46,787,.396,.443,.325,.460,.750,.519,.396,.396,83,81,90,84,96,89,149,102,-34.3,-29.7
516,417,Rodney McGruder,SG,31,DET,32,524,.408,.382,.423,.543,.818,.566,.145,.638,86,70,117,100,105,97,54,165,-0.8,-5.0
517,418,Jordan McLaughlin,PG,26,MIN,43,678,.421,.552,.308,.503,.833,.526,.124,.538,88,101,85,92,107,91,47,139,-12.1,-16.8
518,419,De'Anthony Melton,SG,24,PHI,77,2150,.425,.484,.390,.546,.793,.566,.134,.619,90,88,108,100,101,97,50,160,1.1,-21.3
519,420,Sam Merrill,SG,26,CLE,5,59,.409,1.000,.278,.523,1.000,.546,.091,.818,86,183,77,96,128,94,34,211,-1.0,-1.6
520,,,,,,,,,,,,,,,,,,,,,,,,,
521,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
524,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
525,421,Chimezie Metu,PF,25,SAC,66,689,.589,.663,.237,.610,.740,.639,.333,.174,124,121,66,112,95,110,125,45,28.2,29.1
526,422,Khris Middleton,SF,31,MIL,33,801,.436,.516,.315,.499,.902,.551,.251,.399,92,94,87,91,115,95,94,103,-37.7,-27.2
527,423,Patty Mills,PG,34,BRK,40,567,.411,.493,.366,.529,.833,.554,.144,.641,87,90,101,97,107,95,54,165,-6.9,-12.3
528,424,Shake Milton,SG,26,PHI,76,1567,.479,.521,.378,.535,.853,.575,.231,.294,101,95,105,98,109,99,87,76,-10.5,-7.1
529,425,Justin Minaya,SF,23,POR,4,89,.304,.364,.250,.370,.000,.363,.043,.522,64,66,69,68,,62,16,135,-8.1,-10.2
530,426,Josh Minott,SF,20,MIN,15,96,.500,.533,.333,.528,1.000,.582,.222,.167,105,97,92,97,128,100,83,43,-1.3,.1
531,427,Davion Mitchell,PG,24,SAC,80,1447,.454,.584,.320,.533,.806,.545,.078,.494,95,107,89,98,103,94,29,127,-10.1,-29.7
532,428,Donovan Mitchell,SG,26,CLE,68,2432,.484,.566,.386,.572,.867,.614,.262,.453,102,103,107,105,111,106,99,117,74.1,103.9
533,429,Evan Mobley,PF,21,CLE,79,2715,.554,.595,.216,.566,.674,.591,.321,.108,117,109,60,104,86,102,120,28,39.3,20.6
534,430,Isaiah Mobley,PF,23,CLE,12,84,.429,.450,.375,.482,1.000,.521,.143,.286,90,82,104,88,128,90,54,74,-3.5,-3.6
535,431,Chima Moneke,SF,27,SAC,2,8,.500,.500,,.500,.000,.347,1.000,.000,105,91,,92,,60,375,,-0.2,-1.3
536,432,Malik Monk,SG,24,SAC,77,1719,.448,.538,.359,.538,.889,.587,.260,.500,94,98,100,99,114,101,98,129,-11.0,9.8
537,433,Moses Moody,SG,20,GSW,63,817,.476,.641,.363,.584,.698,.603,.233,.595,100,117,101,107,89,104,88,153,17.5,11.0
538,434,Xavier Moon,SG,28,LAC,4,20,.333,.333,.333,.389,,.389,.000,.333,70,61,92,71,,67,,86,-2.8,-3.5
539,435,Wendell Moore Jr.,SG,21,MIN,29,153,.419,.615,.118,.442,.800,.465,.116,.395,88,112,33,81,102,80,44,102,-8.9,-10.5
540,436,Ja Morant,PG,23,MEM,61,1948,.466,.519,.307,.504,.748,.557,.409,.247,98,95,85,92,96,96,154,64,-99.9,-69.5
541,437,Markieff Morris,PF,33,TOT,35,355,.409,.432,.394,.530,1.000,.553,.087,.617,86,79,109,97,128,95,33,159,-3.4,-6.8
542,438,Markieff Morris,PF,33,BRK,27,285,.402,.394,.408,.524,1.000,.556,.122,.598,85,72,113,96,128,96,46,154,-3.4,-4.4
543,439,Markieff Morris,PF,33,DAL,8,70,.424,.545,.364,.545,,.545,.000,.667,89,100,101,100,,94,,172,.0,-2.4
544,440,Marcus Morris,PF,33,LAC,65,1825,.426,.484,.364,.513,.782,.534,.135,.479,90,88,101,94,100,92,51,124,-41.2,-64.0
545,,,,,,,,,,,,,,,,,,,,,,,,,
546,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,
548,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
549,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
550,441,Monte Morris,PG,27,WAS,62,1695,.480,.543,.382,.555,.831,.579,.150,.396,101,99,106,102,106,100,56,102,10.4,-2.1
551,442,Trey Murphy III,SF,22,NOP,79,2448,.484,.611,.406,.610,.905,.650,.237,.621,102,111,113,112,116,112,89,160,103.6,120.8
552,443,Dejounte Murray,SG,26,ATL,74,2693,.464,.514,.344,.514,.832,.540,.144,.293,98,94,95,94,106,93,54,76,-81.4,-115.5
553,444,Jamal Murray,PG,25,DEN,65,2133,.454,.494,.398,.537,.833,.571,.207,.415,96,90,110,98,107,98,78,107,-17.2,-22.7
554,445,Keegan Murray,SF,22,SAC,80,2382,.453,.527,.411,.584,.765,.597,.104,.641,95,96,114,107,98,103,39,165,61.2,25.5
555,446,Mike Muscala,C,31,TOT,63,945,.449,.588,.391,.587,.769,.608,.178,.709,94,107,108,108,98,105,67,183,24.6,16.9
556,447,Mike Muscala,C,31,OKC,43,622,.438,.541,.394,.576,.795,.602,.192,.700,92,99,109,106,102,104,72,181,12.6,9.1
557,448,Mike Muscala,C,31,BOS,20,323,.472,.708,.385,.612,.692,.623,.146,.730,99,129,107,112,89,107,55,188,11.9,7.9
558,449,Svi Mykhailiuk,SF,25,TOT,32,468,.445,.473,.424,.566,.667,.584,.225,.572,94,86,118,104,85,100,85,148,7.3,.9
559,450,Svi Mykhailiuk,SF,25,NYK,13,40,.500,.000,.600,.750,.600,.739,.417,.833,105,,166,138,77,127,156,215,4.9,4.5
560,451,Svi Mykhailiuk,SF,25,CHO,19,428,.441,.486,.404,.553,.676,.571,.211,.553,93,89,112,101,87,98,79,143,2.4,-3.6
561,452,Larry Nance Jr.,C,30,NOP,65,1381,.610,.654,.333,.633,.696,.649,.259,.138,128,119,92,116,89,112,97,36,53.4,46.0
562,453,Andrew Nembhard,SG,23,IND,75,2073,.441,.504,.350,.512,.790,.528,.096,.408,93,92,97,94,101,91,36,105,-42.3,-71.4
563,454,Aaron Nesmith,SF,23,IND,73,1816,.427,.496,.366,.525,.838,.566,.241,.532,90,91,102,96,107,97,90,137,-24.4,-20.5
564,455,Raul Neto,PG,30,CLE,48,505,.518,.662,.286,.573,.912,.628,.309,.382,109,121,79,105,117,108,116,99,6.0,11.7
